#Energy(keV)           Counts
44.2409            0
93.3836            3
142.528            14
191.674            44
240.822            108
289.972            224
339.124            412
388.278            699
437.433            1115
486.59            1694
535.749            2480
584.91            3525
634.072            4893
683.236            6665
732.403            8938
781.57            11839
830.74            15548
879.912            20127
929.085            25830
978.26            33103
1027.44            42201
1076.62            53540
1125.8            66693
1174.98            82426
1224.16            99424
1273.35            117067
1322.54            132633
1371.73            145536
1420.92            155627
1470.11            159809
1519.3            158810
1568.5            154474
1617.7            145942
1666.9            135820
1716.1            125911
1765.31            114012
1814.51            104749
1863.72            95225
1912.93            86815
1962.14            79542
2011.35            72387
2060.57            66753
2109.78            61222
2159            56719
2208.22            52731
2257.44            48964
2306.67            45122
2355.89            42482
2405.12            40169
2454.35            37144
2503.58            35484
2552.81            32823
2602.05            31170
2651.28            29401
2700.52            27648
2749.76            26714
2799            24872
2848.25            23489
2897.49            22220
2946.74            21045
2995.99            20177
3045.24            18867
3094.49            17826
3143.75            17316
3193            16622
3242.26            15783
3291.52            15016
3340.78            14431
3390.04            13687
3439.31            13119
3488.58            12443
3537.85            11865
3587.12            11232
3636.39            10759
3685.66            10198
3734.94            9731
3784.22            9425
3833.5            8796
3882.78            8339
3932.06            8169
3981.34            7663
4030.63            7333
4079.92            6913
4129.21            6712
4178.5            6363
4227.8            6060
4277.09            5740
4326.39            5553
4375.69            5221
4424.99            4969
4474.29            4807
4523.6            4374
4572.9            4246
4622.21            4095
4671.52            3811
4720.83            3662
4770.15            3459
4819.46            3307
4868.78            3137
4918.1            2930
4967.42            2738
5016.74            2626
5066.07            2545
5115.39            2279
5164.72            2131
5214.05            2081
5263.38            1928
5312.72            1853
5362.05            1745
5411.39            1633
5460.73            1474
5510.07            1468
5559.41            1337
5608.76            1178
5658.1            1215
5707.45            1066
5756.8            981
5806.15            968
5855.5            897
5904.86            814
5954.22            737
6003.58            684
6052.94            659
6102.3            623
6151.66            562
6201.03            479
6250.4            478
6299.77            421
6349.14            374
6398.51            339
6447.88            293
6497.26            282
6546.64            274
6596.02            239
6645.4            215
6694.79            177
6744.17            130
6793.56            162
6842.95            157
6892.34            120
6941.73            102
6991.13            92
7040.52            81
7089.92            83
7139.32            71
7188.72            56
7238.13            31
7287.53            35
7336.94            32
7386.35            34
7435.76            32
7485.17            15
7534.59            14
7584            8
7633.42            10
7682.84            8
7732.26            5
7781.69            3
7831.11            2
7880.54            4
7929.97            2
7979.4            0
8028.83            0
8078.27            0
8127.7            0
8177.14            0
8226.58            0
8276.02            0
8325.46            0
8374.91            0
8424.36            0
8473.81            0
8523.26            0
8572.71            0
8572.71            0
