#Depth(nm)	StoppingProbability(1/nm)
 0.500000000	 0.003202733
 1.500000000	 0.007259528
 2.500000000	 0.009287926
 3.500000000	 0.012704174
 4.500000000	 0.012810932
 5.500000000	 0.013131205
 6.500000000	 0.012063628
 7.500000000	 0.017508274
 8.500000000	 0.015800149
 9.500000000	 0.019323156
 10.500000000	 0.021138038
 11.500000000	 0.020497491
 12.500000000	 0.022632647
 13.500000000	 0.024767802
 14.500000000	 0.027223230
 15.500000000	 0.026048895
 16.500000000	 0.026369168
 17.500000000	 0.026902957
 18.500000000	 0.027863777
 19.500000000	 0.028611081
 20.500000000	 0.030746237
 21.500000000	 0.028290808
 22.500000000	 0.033308423
 23.500000000	 0.032240846
 24.500000000	 0.029144870
 25.500000000	 0.029571901
 26.500000000	 0.030639479
 27.500000000	 0.029144870
 28.500000000	 0.028077293
 29.500000000	 0.030959752
 30.500000000	 0.027543504
 31.500000000	 0.026155653
 32.500000000	 0.021885342
 33.500000000	 0.021244796
 34.500000000	 0.021244796
 35.500000000	 0.019963702
 36.500000000	 0.021031280
 37.500000000	 0.017828547
 38.500000000	 0.018042063
 39.500000000	 0.015586634
 40.500000000	 0.014732572
 41.500000000	 0.013131205
 42.500000000	 0.013558236
 43.500000000	 0.010996050
 44.500000000	 0.009714957
 45.500000000	 0.008433864
 46.500000000	 0.006191950
 47.500000000	 0.005764919
 48.500000000	 0.004377068
 49.500000000	 0.004056795
 50.500000000	 0.003736522
 51.500000000	 0.003416249
 52.500000000	 0.001708124
 53.500000000	 0.001814882
 54.500000000	 0.001601366
 55.500000000	 0.002348671
 56.500000000	 0.000854062
 57.500000000	 0.001281093
 58.500000000	 0.000854062
 59.500000000	 0.000960820
 60.500000000	 0.000427031
 61.500000000	 0.000427031
 62.500000000	 0.000747304
 63.500000000	 0.000213516
 64.500000000	 0.000213516
 65.500000000	 0.000000000
 66.500000000	 0.000106758
 67.500000000	 0.000106758
 68.500000000	 0.000106758
 69.500000000	 0.000000000
 70.500000000	 0.000000000
 71.500000000	 0.000000000
 72.500000000	 0.000106758
 73.500000000	 0.000000000
 74.500000000	 0.000000000
 75.500000000	 0.000106758
